origin_loc_id,origin_borough,origin_zone_name,dest_loc_id,destination_borough,destination_zone_name,trip_count,percentage_of_origin_trips,average_distance_miles,average_duration_minutes,average_total_charge,origin_flow_rank,overall_flow_rank
237,Manhattan,Upper East Side South,236,Manhattan,Upper East Side North,28176,16.26,1.029,8.317,16.26,1,1
236,Manhattan,Upper East Side North,237,Manhattan,Upper East Side South,23896,15.95,1.024,9.07,16.54,1,2
161,Manhattan,Midtown Center,237,Manhattan,Upper East Side South,13045,7.95,1.053,11.531,19.3,1,3
237,Manhattan,Upper East Side South,161,Manhattan,Midtown Center,12144,7.01,1.046,10.703,18.46,2,4
161,Manhattan,Midtown Center,236,Manhattan,Upper East Side North,10283,6.27,1.908,15.87,24.3,2,5
142,Manhattan,Lincoln Square East,239,Manhattan,Upper West Side South,9546,7.94,0.988,6.537,15.37,1,6
237,Manhattan,Upper East Side South,162,Manhattan,Midtown East,9363,5.4,0.976,9.013,17.32,3,7
236,Manhattan,Upper East Side North,161,Manhattan,Midtown Center,9070,6.05,1.881,15.715,23.42,2,8
239,Manhattan,Upper West Side South,142,Manhattan,Lincoln Square East,8883,9.18,0.88,6.681,14.98,1,9
239,Manhattan,Upper West Side South,238,Manhattan,Upper West Side North,8506,8.79,0.843,5.331,14.05,2,10
141,Manhattan,Lenox Hill West,236,Manhattan,Upper East Side North,8311,10.28,1.082,8.42,16.0,1,11
132,Queens,JFK Airport,230,Manhattan,Times Sq/Theatre District,8300,5.08,17.723,65.539,95.91,1,12
236,Manhattan,Upper East Side North,141,Manhattan,Lenox Hill West,8019,5.35,1.115,9.486,17.0,3,13
162,Manhattan,Midtown East,237,Manhattan,Upper East Side South,7953,6.66,0.992,10.356,18.46,1,14
142,Manhattan,Lincoln Square East,237,Manhattan,Upper East Side South,7841,6.52,1.329,10.119,18.41,2,15
237,Manhattan,Upper East Side South,141,Manhattan,Lenox Hill West,7819,4.51,0.753,7.454,14.96,4,16
237,Manhattan,Upper East Side South,142,Manhattan,Lincoln Square East,7739,4.46,1.264,11.509,19.18,5,17
138,Queens,LaGuardia Airport,230,Manhattan,Times Sq/Theatre District,7677,6.6,10.013,44.888,81.19,1,18
236,Manhattan,Upper East Side North,239,Manhattan,Upper West Side South,7662,5.11,1.426,9.8,18.16,4,19
142,Manhattan,Lincoln Square East,236,Manhattan,Upper East Side North,7505,6.24,2.074,13.406,21.93,3,20
238,Manhattan,Upper West Side North,239,Manhattan,Upper West Side South,7441,10.7,0.811,6.216,13.95,1,21
186,Manhattan,Penn Station/Madison Sq West,230,Manhattan,Times Sq/Theatre District,7244,6.09,1.031,13.973,21.09,1,22
237,Manhattan,Upper East Side South,263,Manhattan,Yorkville West,7158,4.13,1.185,8.954,16.78,6,23
142,Manhattan,Lincoln Square East,238,Manhattan,Upper West Side North,7141,5.94,1.495,8.425,17.64,4,24
239,Manhattan,Upper West Side South,236,Manhattan,Upper East Side North,7138,7.38,1.476,10.607,18.5,3,25
163,Manhattan,Midtown North,237,Manhattan,Upper East Side South,7081,6.75,0.948,10.489,18.03,1,26
236,Manhattan,Upper East Side North,238,Manhattan,Upper West Side North,7007,4.68,1.394,10.118,18.1,5,27
161,Manhattan,Midtown Center,234,Manhattan,Union Sq,6941,4.23,1.434,12.635,20.97,3,28
141,Manhattan,Lenox Hill West,237,Manhattan,Upper East Side South,6933,8.58,0.72,7.88,15.04,2,29
236,Manhattan,Upper East Side North,142,Manhattan,Lincoln Square East,6889,4.6,1.935,13.799,21.79,6,30
263,Manhattan,Yorkville West,236,Manhattan,Upper East Side North,6873,10.06,0.677,5.757,13.61,1,31
140,Manhattan,Lenox Hill East,236,Manhattan,Upper East Side North,6832,9.54,1.287,10.371,17.77,1,32
163,Manhattan,Midtown North,236,Manhattan,Upper East Side North,6570,6.27,1.728,13.786,22.33,2,33
236,Manhattan,Upper East Side North,162,Manhattan,Midtown East,6517,4.35,1.773,13.917,21.98,7,34
161,Manhattan,Midtown Center,164,Manhattan,Midtown South,6465,3.94,0.957,10.408,18.49,4,35
162,Manhattan,Midtown East,236,Manhattan,Upper East Side North,6449,5.4,1.777,14.68,22.96,2,36
237,Manhattan,Upper East Side South,140,Manhattan,Lenox Hill East,6439,3.71,0.913,9.071,16.28,7,37
262,Manhattan,Yorkville East,236,Manhattan,Upper East Side North,6411,12.56,0.881,7.691,14.95,1,38
48,Manhattan,Clinton East,68,Manhattan,East Chelsea,6310,6.94,1.139,7.676,16.88,1,39
237,Manhattan,Upper East Side South,163,Manhattan,Midtown North,6302,3.64,0.945,9.701,17.52,8,40
186,Manhattan,Penn Station/Madison Sq West,161,Manhattan,Midtown Center,6239,5.24,1.255,15.401,21.83,2,41
236,Manhattan,Upper East Side North,262,Manhattan,Yorkville East,6183,4.13,0.888,7.62,15.35,8,42
236,Manhattan,Upper East Side North,263,Manhattan,Yorkville West,6170,4.12,0.699,6.319,14.03,9,43
234,Manhattan,Union Sq,170,Manhattan,Murray Hill,6158,5.85,1.005,9.248,17.77,1,44
263,Manhattan,Yorkville West,141,Manhattan,Lenox Hill West,6022,8.82,0.939,6.086,14.46,2,45
237,Manhattan,Upper East Side South,239,Manhattan,Upper West Side South,5992,3.46,1.75,13.134,21.41,9,46
236,Manhattan,Upper East Side North,140,Manhattan,Lenox Hill East,5943,3.97,1.337,11.287,18.33,10,47
142,Manhattan,Lincoln Square East,161,Manhattan,Midtown Center,5821,4.84,1.401,12.305,19.86,5,48
